Index,Offset,Original,Cleaned,Translation
1279,7648256,\pSake that decreases the success rate of a monster's\n%1cAdvantage%0c and %1cVital Strike%0c skills.,Sake that decreases the success rate of a monster's Advantage and Vital Strike skills.,
1280,7648360,\pIron Shackle,Iron Shackle,
1281,7648376,\pMirage Shield,Mirage Shield,
1282,7648392,\p----------\n\n,----------,
1283,7648416,\pA mysterious orb inscribed with but one word: 'Eaten.'\nThere are markings indicating this is the last of four.,A mysterious orb inscribed with but one word: 'Eaten.' There are markings indicating this is the last of four.,
1284,7648536,\p－－－－－－－－,－－－－－－－－,
1285,7648568,\pTemple Pass,Temple Pass,
1286,7648584,\pAcid Vinegar,Acid Vinegar,
1287,7648600,\pGlitzy Shield,Glitzy Shield,
1288,7648616,\pSilver Bustier,Silver Bustier,
1289,7648640,\pA mysterious orb inscribed with but one letter: 'E.'\nThere are markings indicating this is the 3rd of four.,A mysterious orb inscribed with but one letter: 'E.' There are markings indicating this is the 3rd of four.,
1290,7648752,\pA mysterious orb inscribed with but one word: 'Orb.'\nThere are markings indicating this is the 2nd of four.,A mysterious orb inscribed with but one word: 'Orb.' There are markings indicating this is the 2nd of four.,
1291,7648864,\pA mysterious orb inscribed with but one word: 'Eat.'\nThere are markings indicating this is the 1st of four.,A mysterious orb inscribed with but one word: 'Eat.' There are markings indicating this is the 1st of four.,
1292,7648976,\pAn orb said to be worth more than any other treasure\nin the world (as far as %2cindividual%0c items go!).,An orb said to be worth more than any other treasure in the world (as far as individual items go!).,
1293,7649088,\pA relic that %1ctemporarily boosts%0c all stats aside\nfrom Stamina when your HP drops to %1c1/10 or below%0c.,A relic that temporarily boosts all stats aside from Stamina when your HP drops to 1/10 or below.,
1294,7649208,\pM Guard,M Guard,
1295,7649224,\pMitigate damage from offensive magic\nby a large amount.,Mitigate damage from offensive magic by a large amount.,
1296,7649288,\pPower Wrest,Power Wrest,
1297,7649304,\pSeed of Ruin,Seed of Ruin,
1298,7649320,\pKnight Shield,Knight Shield,
1299,7649336,\p\r\hSame behavior as the original.,Same behavior as the original.,
1300,7649376,"\pTap into the resentful mindset of a demon,\nmaking it easier to be spiteful toward others.","Tap into the resentful mindset of a demon, making it easier to be spiteful toward others.",
1301,7649472,"\pTap into the merciful mindset of a saint,\nmaking it harder to be spiteful toward others.","Tap into the merciful mindset of a saint, making it harder to be spiteful toward others.",
1302,7649568,\pA lockpick that lets you open treasure\nchests even without a %2cMagic Key%0c.,A lockpick that lets you open treasure chests even without a Magic Key.,
1303,7649656,\pMiracle Cube,Miracle Cube,
1304,7649672,"\pKills your target,\nbut leaves you with 1 HP.","Kills your target, but leaves you with 1 HP.",
1305,7649720,\p\r\hSame behavior as the original.,Same behavior as the original.,
1306,7649760,"\pAn endangered grub that's worth a lot of money, but\nincurs a protection fee of %1c10,000G%0c per week.","An endangered grub that's worth a lot of money, but incurs a protection fee of 10,000G per week.",
1307,7649872,\pAn amulet that protects you against all damage\nand status ailments from Mystery Boxes.,An amulet that protects you against all damage and status ailments from Mystery Boxes.,
1308,7649968,\pA purse string that increases the probability\nof Mystery Boxes dropping money.,A purse string that increases the probability of Mystery Boxes dropping money.,
1309,7650056,\pPeppy Meal,Peppy Meal,
1310,7650072,\pSpeedy Kicks,Speedy Kicks,
1311,7650088,\pBattle Jacket,Battle Jacket,
1312,7650104,\p%0x%0y\n\n\n\h Transform Duration Limit\m%20x<%34x>,Transform Duration Limit<>,
1313,7650160,\pAn expensive bag that increases the probability\nof Mystery Boxes dropping items and magic.,An expensive bag that increases the probability of Mystery Boxes dropping items and magic.,
1314,7650256,"\p[Dokapon Castle]\nPoison, Footsore, Seal, Fear, Curse,\nand Possess status cured for %2cfree%0c.","[Dokapon Castle] Poison, Footsore, Seal, Fear, Curse, and Possess status cured for free.",
1315,7650360,\pMage's Hat,Mage's Hat,
1316,7650376,\pGolem Stone,Golem Stone,
1317,7650392,\pStud Earring,Stud Earring,
1318,7650408,\pLeather Armor,Leather Armor,
1319,7650424,\pNihilist Sword,Nihilist Sword,
1320,7650448,\p%0x%0y\hObtainable EXP%6x%2y\m？？？？？？？？？？,Obtainable EXP？？？？？？？？？？,
1321,7650510,"\p%0x%4yObtainable Money%15x%6y\,%DG\n\n%0x%12yOff.Mgc.%8x%s%13x%14y\mx%2d","Obtainable Money,%DG Off.Mgc.[TEXT]x[NUM]",
1322,7650584,\p%0x%16yDef.Mgc.%8x%s,Def.Mgc.[TEXT],
1323,7650608,"\p%0x%0y\hObtainable EXP%16x%2y\,%D%0x%4yObtainable Money%15x%6y\,%DG\n\n%0x%12yOff.Mgc.%8x%s%13x%14y\mx%2d","Obtainable EXP,%DObtainable Money,%DG Off.Mgc.[TEXT]x[NUM]",
1324,7650715,\p%0x%16yDef.Mgc.%8x%s,Def.Mgc.[TEXT],
1325,7650744,\pLump of Woe,Lump of Woe,
1326,7650760,\pHeated Scarf,Heated Scarf,
1327,7650776,\pFishskin Coat,Fishskin Coat,
1328,7650792,\pLance,Lance,
1329,7650800,\p%0x%0y\hWeapon%8x%s%13x%2y\m%3d,Weapon[TEXT][NUM],
1330,7650833,\p%0x%4yArmor%8x%s%13x%6y\m%3d,Armor[TEXT][NUM],
1331,7650863,\p%0x%8yShield%8x%s%13x%10y\m%3d,Shield[TEXT][NUM],
1332,7650895,\p%0x%12yOff.Mgc.%8x%s%13x%14y\mx%2d,Off.Mgc.[TEXT]x[NUM],
1333,7650931,\p%0x%16yDef.Mgc.%8x%s,Def.Mgc.[TEXT],
1334,7650960,\p%3x%0y\h%s\nLevel%14x\m%2d,[TEXT] Level[NUM],
1335,7650988,\pAttack%5x%12X\m・・・・・・・,Attack%12X・・・・・・・,
1336,7651026,\p\nDefense%5x%12X\m・・・・・・・,Defense%12X・・・・・・・,
1337,7651067,\p\nMagic%5x%12X\m・・・・・・・,Magic%12X・・・・・・・,
1338,7651106,\p\nSpeed%5x%12X\m・・・・・・・,Speed%12X・・・・・・・,
1339,7651145,\p\nHP%11x｜\nStatus%8x\z,HP｜ Status,
1341,7651216,\pA national treasure of the Underworld. It is said\nto be drawn to those with greed in their hearts.,A national treasure of the Underworld. It is said to be drawn to those with greed in their hearts.,
1342,7651320,\pGold Sandals,Gold Sandals,
1343,7651336,\pInferno Sword,Inferno Sword,
1344,7651352,\pSurvival Knife,Survival Knife,
1345,7651376,\pA spherical treasure said to govern the laws of the\nDokapon World. Is it valuable? I should say so!,A spherical treasure said to govern the laws of the Dokapon World. Is it valuable? I should say so!,
1346,7651480,\pUnicorn Spear,Unicorn Spear,
1347,7651496,\pA magic item that allows you\nto see the Battle Coin.,A magic item that allows you to see the Battle Coin.,
1348,7651552,"\pSummon a phantasmal dragon\nto devour your target, dealing\na massive amount of damage.","Summon a phantasmal dragon to devour your target, dealing a massive amount of damage.",
1349,7651648,"\pImpale your target with too\nmany swords to count, dealing\na massive amount of damage.","Impale your target with too many swords to count, dealing a massive amount of damage.",
1350,7651744,\pSummon a black hole to drain your\ntarget's HP to 1 and suck up both\ntheir offensive magic and money.,Summon a black hole to drain your target's HP to 1 and suck up both their offensive magic and money.,
1351,7651856,"\pSmite your target with a sky-\nsplitting bolt of lightning, dealing\na massive amount of damage.","Smite your target with a sky- splitting bolt of lightning, dealing a massive amount of damage.",
1352,7651960,\pLocal Goods,Local Goods,
1353,7651976,\pSmiley Boots,Smiley Boots,
1354,7651992,\pCarving Knife,Carving Knife,
1355,7652008,\pCurse,Curse,
1356,7652016,"\pBlast your target with the arctic\nbreath of an Ice Dragon, dealing\na massive amount of damage.","Blast your target with the arctic breath of an Ice Dragon, dealing a massive amount of damage.",
1357,7652120,\pGround Tail,Ground Tail,
1358,7652136,\pLoud Sandals,Loud Sandals,
1359,7652152,\pBattle Cutter,Battle Cutter,
1360,7652168,\pMagma,Magma,
1361,7652176,"\pDrop an asteroid on your target,\ndealing a massive amount of damage.","Drop an asteroid on your target, dealing a massive amount of damage.",
1362,7652248,\pHaunt,Haunt,
1363,7652256,"\pMake it rain, at the target's expense!\nDeal some damage and reduce their\ncash to 1/100 of what it is.","Make it rain, at the target's expense! Deal some damage and reduce their cash to 1/100 of what it is.",
1364,7652368,"\pDeal a small amount of damage with\na rockslide and earthquake, destroying\none piece of the target's equipment.","Deal a small amount of damage with a rockslide and earthquake, destroying one piece of the target's equipment.",
1365,7652488,\pLucky Shoes,Lucky Shoes,
1366,7652504,\pAqua Pendant,Aqua Pendant,
1367,7652520,\pFull Moon Bow,Full Moon Bow,
1368,7652536,\pQuake,Quake,
1369,7652544,"\pAbsorb offensive magic targeting you,\nmitigating the lion's share of damage\nand restoring your HP by 200.","Absorb offensive magic targeting you, mitigating the lion's share of damage and restoring your HP by 200.",
1370,7652656,"\pAbsorb offensive magic targeting you,\nmitigating a large amount of damage\nand restoring your HP by 100.","Absorb offensive magic targeting you, mitigating a large amount of damage and restoring your HP by 100.",
1371,7652768,\pBounce,Bounce,
1372,7652784,"\pPerfectly reflect offensive magic\ntargeting you, dealing all intended\ndamage and effects to the caster.","Perfectly reflect offensive magic targeting you, dealing all intended damage and effects to the caster.",
1373,7652896,"\pReflect offensive magic targeting you,\nmitigating much of the damage and\ntemporarily immobilizing the enemy.","Reflect offensive magic targeting you, mitigating much of the damage and temporarily immobilizing the enemy.",
1374,7653016,\pIcy Fan,Icy Fan,
1375,7653032,\pRain Kappa,Rain Kappa,
1376,7653048,\pTin Sandals,Tin Sandals,
1377,7653064,\pFast Machine,Fast Machine,
1378,7653080,\pLocal Assault,Local Assault,
1379,7653096,\pVolt+,Volt+,
1380,7653104,"\pAbsorb offensive magic targeting you,\nmitigating most of the damage and\ntemporarily boosting your DF.","Absorb offensive magic targeting you, mitigating most of the damage and temporarily boosting your DF.",
1381,7653216,"\pAbsorb offensive magic targeting you,\nmitigating much of the damage and\ntemporarily boosting your MG.","Absorb offensive magic targeting you, mitigating much of the damage and temporarily boosting your MG.",
1382,7653328,"\pReflect offensive magic targeting you,\nmitigating most damage and sealing\nboth offensive and defensive magic.","Reflect offensive magic targeting you, mitigating most damage and sealing both offensive and defensive magic.",
1383,7653448,\pSnow Gloves,Snow Gloves,
1384,7653464,\pBrainy Bread,Brainy Bread,
1385,7653480,\pLower your target's %3cMG%0c\nfor a short while.,Lower your target's MG for a short while.,
1386,7653536,"\pReflect offensive magic targeting you,\nmitigating much of the damage and\nsealing the enemy's offensive magic.","Reflect offensive magic targeting you, mitigating much of the damage and sealing the enemy's offensive magic.",
1387,7653656,\pHazmat Mask,Hazmat Mask,
1388,7653672,\pMagical Belt,Magical Belt,
1389,7653688,\pLower your target's %3cSP%0c\nfor a short while.,Lower your target's SP for a short while.,
1390,7653744,"\pMitigate much of the damage from magic\nattacks, restore 100 HP, and add\n3 to your own offensive magic.","Mitigate much of the damage from magic attacks, restore 100 HP, and add 3 to your own offensive magic.",
1391,7653856,"\pAbsorb offensive magic targeting you,\nmitigating much of the damage and\nadding 5 to your own offensive magic.","Absorb offensive magic targeting you, mitigating much of the damage and adding 5 to your own offensive magic.",
1392,7653976,\pSome Bit,Some Bit,
1393,7653992,\pSome Part,Some Part,
1394,7654004,\pYes,Yes,
1395,7654016,"\pAbsorb offensive magic targeting you,\nmitigating much of the damage and\nadding 3 to your own offensive magic.","Absorb offensive magic targeting you, mitigating much of the damage and adding 3 to your own offensive magic.",
1396,7654136,\pSome Piece,Some Piece,
1397,7654152,\pPig Protect,Pig Protect,
1398,7654168,\pSurreal Ring,Surreal Ring,
1399,7654184,\pLower your target's %3cDF%0c\nfor a short while.,Lower your target's DF for a short while.,
1400,7654240,"\pAbsorb offensive magic targeting you,\nmitigating a fair bit of damage and\nadding 1 to your own offensive magic.","Absorb offensive magic targeting you, mitigating a fair bit of damage and adding 1 to your own offensive magic.",
1401,7654360,\pHeel Ring,Heel Ring,
1402,7654376,\pGallant Ring,Gallant Ring,
1403,7654392,\pHappy Purse,Happy Purse,
1404,7654408,\pLucky Star,Lucky Star,
1405,7654424,\pGamestation,Gamestation,
1406,7654440,\pBoon-sai,Boon-sai,
1407,7654456,\pFame Stone,Fame Stone,
1408,7654472,\pVIP Badge,VIP Badge,
1409,7654488,\pShiny Ring,Shiny Ring,
1410,7654504,\pMini Shelter,Mini Shelter,
1411,7654520,\pDokahelm,Dokahelm,
1412,7654536,\pRed Diamond,Red Diamond,
1413,7654552,\pMythril Band,Mythril Band,
1414,7654568,\pSweetsop,Sweetsop,
1415,7654584,\pMagnecklace,Magnecklace,
1416,7654600,\pHeal Band,Heal Band,
1417,7654616,\pRed Bottle,Red Bottle,
1418,7654632,\pPure Statue,Pure Statue,
1419,7654648,\pSilver Chain,Silver Chain,
1420,7654664,\pEarplugs,Earplugs,
1421,7654680,\pChakra,Chakra,
1422,7654696,\pDokaqon Ball,Dokaqon Ball,
1423,7654712,\pDokaqon Orb,Dokaqon Orb,
1424,7654728,\pDokaqon Ring,Dokaqon Ring,
1425,7654744,\pDokaqonHeart,DokaqonHeart,
1426,7654760,\pDokaqonCrown,DokaqonCrown,
1427,7654776,\pMoney Grub,Money Grub,
1428,7654792,\pGuard Amulet,Guard Amulet,
1429,7654808,\pPurse String,Purse String,
1430,7654824,\pDesigner Bag,Designer Bag,
1431,7654840,\pLoaded Dice,Loaded Dice,
1432,7654856,\pBuddha Beads,Buddha Beads,
1433,7654872,\pMagic Pocket,Magic Pocket,
1434,7654888,\pWinter Feast,Winter Feast,
1435,7654904,\pAutumn Blues,Autumn Blues,
1436,7654920,\pSummer Memo,Summer Memo,
1437,7654936,\pShiny Season,Shiny Season,
1438,7654952,\pFancy Mask,Fancy Mask,
1439,7654968,\pSourbug,Sourbug,
1440,7654984,\pMetal Shield,Metal Shield,
1441,7655000,\pMulish Guard,Mulish Guard,
1442,7655016,\pShell Shield,Shell Shield,
1443,7655032,\pSteel Shield,Steel Shield,
1444,7655048,\pLarge Shield,Large Shield,
1445,7655064,\pRound Shield,Round Shield,
1446,7655080,\pIron Shield,Iron Shield,
1447,7655096,\pCheap Shield,Cheap Shield,
1448,7655112,\p－－－－－－－－,－－－－－－－－,
1449,7655144,\pReserve,Reserve,
1450,7655160,\pReserve,Reserve,
1451,7655176,\pBloody Guard,Bloody Guard,
1452,7655192,\pDemon Shield,Demon Shield,
1453,7655208,\pHero Shield,Hero Shield,
1454,7655224,\pToy Shield,Toy Shield,
1455,7655240,\pMoon Shield,Moon Shield,
1456,7655256,\pLast Resort,Last Resort,
1457,7655272,\pGoddessGuard,GoddessGuard,
1458,7655288,\pMagic Shield,Magic Shield,
1459,7655304,\pSun Shield,Sun Shield,
1460,7655320,\pAura Shield,Aura Shield,
1461,7655336,\pExpert Guard,Expert Guard,
1462,7655352,\pLower your target's %3cAT%0c\nfor a short while.,Lower your target's AT for a short while.,
1463,7655408,"\pOld shield that sat unused for ages.\nBut, it's not like shields go bad!","Old shield that sat unused for ages. But, it's not like shields go bad!",
1464,7655488,"\pA shield decorated with horns from\na horned lizard. Cool, but unwieldy.","A shield decorated with horns from a horned lizard. Cool, but unwieldy.",
1465,7655568,\pA shield oft used in battle. Shows\nthe enemy you're a real warrior!,A shield oft used in battle. Shows the enemy you're a real warrior!,
1466,7655640,\pChange spaces with your target.,Change spaces with your target.,
1467,7655680,"\pIts smooth, shiny metal surface makes\nevery scuff and fingerprint stand out.","Its smooth, shiny metal surface makes every scuff and fingerprint stand out.",
1468,7655760,\pA shield emblazoned with a rad emblem.\nWarriors beg to be seen with this.,A shield emblazoned with a rad emblem. Warriors beg to be seen with this.,
1469,7655840,\pA hardy shield made by a hard-headed\nsmithy. As unyielding as its maker.,A hardy shield made by a hard-headed smithy. As unyielding as its maker.,
1470,7655920,\pA rare shield made from the shell of\na mean turtle that's seen some things.,A rare shield made from the shell of a mean turtle that's seen some things.,
1471,7656000,"\pA shield made of steel, expertly\nforged-but with a price to match.","A shield made of steel, expertly forged-but with a price to match.",
1472,7656072,\pSeal Magic D,Seal Magic D,
1473,7656088,\pUnknown what will happen when used.,Unknown what will happen when used.,
1474,7656128,"\pBig enough to offer thorough defense,\nbut rather thin for its weight.","Big enough to offer thorough defense, but rather thin for its weight.",
1475,7656208,"\pA nice, compact shield, also known\nas a buckler. Just the right weight!","A nice, compact shield, also known as a buckler. Just the right weight!",
1476,7656288,"\pA round, heavy metal shield. For\nheroes only; villains need not apply!","A round, heavy metal shield. For heroes only; villains need not apply!",
1477,7656368,"\pA big, heavy bronze shield. It's the\nfirst metal known to man, you know!","A big, heavy bronze shield. It's the first metal known to man, you know!",
1478,7656448,\pA surprisingly sturdy oak shield.\nHow does it not split?,A surprisingly sturdy oak shield. How does it not split?,
1479,7656512,\pA slapdash tree bark shield with a\nhandle glued on. Better than nothing?,A slapdash tree bark shield with a handle glued on. Better than nothing?,
1480,7656592,\pReserve,Reserve,
1481,7656608,"\pForged from a failed friendship, the\nblood it bears betrays broken bonds.","Forged from a failed friendship, the blood it bears betrays broken bonds.",
1482,7656688,\pAn evil shield made by the Great\nDemon Lord. Saps HP in battle.,An evil shield made by the Great Demon Lord. Saps HP in battle.,
1483,7656760,\pA mysterious shield that generates\nan aura of protection.,A mysterious shield that generates an aura of protection.,
1484,7656824,\pSleepy Time,Sleepy Time,
1485,7656840,\pSeal Magic A,Seal Magic A,
1486,7656856,\pTake control of your target\nfor %3cone day%0c.,Take control of your target for one day.,
1487,7656912,\pA shield that confuses foes with\noptics. Makes attacks easier to dodge.,A shield that confuses foes with optics. Makes attacks easier to dodge.,
1488,7656992,"\pA shield that draws the eye-but also\ndraws enemy fire, and doesn't stop it!","A shield that draws the eye-but also draws enemy fire, and doesn't stop it!",
1489,7657072,\pShield imbued with unwavering courage.\nMay prevent status ailments in battle.,Shield imbued with unwavering courage. May prevent status ailments in battle.,
1490,7657160,\pPickpocket,Pickpocket,
1491,7657176,\pMega Meteor,Mega Meteor,
1492,7657192,\pElectrospark,Electrospark,
1493,7657208,\pSummon monsters\nto attack your target's towns.,Summon monsters to attack your target's towns.,
1494,7657264,\pA shield made by concerned mothers.\nOccasionally boosts DF in battle.,A shield made by concerned mothers. Occasionally boosts DF in battle.,
1495,7657344,\pThis shield's mystical moon power may\ncure some status ailments in battle.,This shield's mystical moon power may cure some status ailments in battle.,
1496,7657424,\pA mighty shield coveted by all.\nOccasionally boosts DF in battle.,A mighty shield coveted by all. Occasionally boosts DF in battle.,
1497,7657496,\pMirror Image,Mirror Image,
1498,7657512,\pCall everyone to the same space.,Call everyone to the same space.,
1499,7657552,\pA shield once borne by Athena?! May\ncure some status ailments in battle.,A shield once borne by Athena?! May cure some status ailments in battle.,
1500,7657632,\pA shield enchanted by a distinguished\nmage. Mitigates magic damage.,A shield enchanted by a distinguished mage. Mitigates magic damage.,
1501,7657704,\pLeave the group and return to title.,Leave the group and return to title.,
1502,7657744,"\pWhen bathed in the light of\nthe sun, may restore HP in battle.","When bathed in the light of the sun, may restore HP in battle.",
1503,7657816,\pPlasmadara,Plasmadara,
1504,7657832,\pHeavensgate,Heavensgate,
1505,7657848,\pSword Dancer,Sword Dancer,
1506,7657864,\pTurn character voices on/off.,Turn character voices on/off.,
1507,7657896,\pAdjust movement speed on the board.,Adjust movement speed on the board.,
1508,7657936,\pA shield only chosen knights may bear.\nWidely known for its cross design.,A shield only chosen knights may bear. Widely known for its cross design.,
1509,7658016,\pPlasmara,Plasmara,
1510,7658032,\pPlasma,Plasma,
1511,7658048,\pFreezdara,Freezdara,
1512,7658064,\pFreezara,Freezara,
1513,7658080,\pFreeze,Freeze,
1514,7658096,\pMeteodara,Meteodara,
1515,7658112,\pMeteora,Meteora,
1516,7658128,\pMeteor,Meteor,
1517,7658144,\p－－－－－－－－,－－－－－－－－,
1518,7658176,\pTroll Toll,Troll Toll,
1519,7658192,\pTidal Wave,Tidal Wave,
1520,7658208,\pTornado,Tornado,
1521,7658224,\pBreath,Breath,
1522,7658240,\pBerserk,Berserk,
1523,7658256,\pTeleport,Teleport,
1524,7658272,\pBanish,Banish,
1525,7658288,"\pDrain energy from your target,\ndealing a small amount of damage and\nspiriting away their offensive magic.","Drain energy from your target, dealing a small amount of damage and spiriting away their offensive magic.",
1526,7658400,"\pOverwhelm your target with lightning,\ndealing a large amount of damage.","Overwhelm your target with lightning, dealing a large amount of damage.",
1527,7658480,"\pBombard your target with lightning,\ndealing a moderate amount of damage.","Bombard your target with lightning, dealing a moderate amount of damage.",
1528,7658560,"\pCause lightning to strike your target,\ndealing a small amount of damage.","Cause lightning to strike your target, dealing a small amount of damage.",
1529,7658640,"\pFreeze the air around your target,\nencasing them in ice to deal\na large amount of damage.","Freeze the air around your target, encasing them in ice to deal a large amount of damage.",
1530,7658736,\pBombard your target with icicles\nto deal a moderate amount of damage.,Bombard your target with icicles to deal a moderate amount of damage.,
1531,7658816,\pRain icicles down on your target\nto deal a small amount of damage.,Rain icicles down on your target to deal a small amount of damage.,
1532,7658888,\p--------\n\n,--------,
1533,7658904,\pAdjust message display speed.,Adjust message display speed.,
1534,7658936,\pScop Urara Molde GamamaruDon Burikin Valtz Wiwi,Scop Urara Molde GamamaruDon Burikin Valtz Wiwi,
1535,7658992,"\pDrop a massive meteor on your target,\ncausing a huge explosion and\ndealing a large amount of damage.","Drop a massive meteor on your target, causing a huge explosion and dealing a large amount of damage.",
1536,7659104,\pRain meteors on your target\nto deal a moderate amount of damage.,Rain meteors on your target to deal a moderate amount of damage.,
1537,7659172,\p%s,[TEXT],
1538,7659184,\pDrop a meteor on your target\nto deal a small amount of damage.,Drop a meteor on your target to deal a small amount of damage.,
1539,7659256,\pGiga Drain,Giga Drain,
1540,7659272,\pMega Plasma,Mega Plasma,
1541,7659288,\pMega Freeze,Mega Freeze,
1542,7659304,\pMetal Jacket,Metal Jacket,
1543,7659320,\p\hItemsSpells,ItemsSpells,
1544,7659336,\pA magic crystal that lets you move\n%2c6%0c spaces.,A magic crystal that lets you move 6 spaces.,
1545,7659392,"\pEngulf your target in a tidal wave,\ndealing a small amount of damage and\nscrubbing their items or field magic.","Engulf your target in a tidal wave, dealing a small amount of damage and scrubbing their items or field magic.",
1546,7659512,\pPut your target to sleep.,Put your target to sleep.,
1547,7659540,\pCave,Cave,
1548,7659552,"\pEngulf your target in a tornado,\ndealing a small amount of damage\nand causing them to lose 1 treasure.","Engulf your target in a tornado, dealing a small amount of damage and causing them to lose 1 treasure.",
1549,7659664,\pFortify your body and\ndeal damage to your target\nwith your newfound strength.,Fortify your body and deal damage to your target with your newfound strength.,
1550,7659752,\pA very large hammer made for\ncombat. Hazardous when swung!,A very large hammer made for combat. Hazardous when swung!,
1551,7659816,\pExpert Armor,Expert Armor,
1552,7659832,\pSuper Spinner,Super Spinner,
1553,7659848,\pA magic crystal that lets you move\n%2c5%0c spaces.,A magic crystal that lets you move 5 spaces.,
1554,7659904,"\pRain acid on your target, dealing a\nlarge amount of damage and destroying\none piece of their equipment.","Rain acid on your target, dealing a large amount of damage and destroying one piece of their equipment.",
1555,7660016,\pCreate a mirror image of yourself\nto attack your target with your\ncurrently equipped weapon.,Create a mirror image of yourself to attack your target with your currently equipped weapon.,
1556,7660120,\pA weapon as old as time.\nA perfect fit for the penniless!,A weapon as old as time. A perfect fit for the penniless!,
1557,7660184,\pShabby Rags,Shabby Rags,
1558,7660200,\pPliable Robe,Pliable Robe,
1559,7660216,\pMulti Crystal,Multi Crystal,
1560,7660232,\pA magic crystal that lets you move\n%2c4%0c spaces.,A magic crystal that lets you move 4 spaces.,
1561,7660288,\pTeleport close to your target\nand deal damage with your\ncurrently equipped weapon.,Teleport close to your target and deal damage with your currently equipped weapon.,
1562,7660376,\pPrimo Pudding,Primo Pudding,
1563,7660392,\pA magic crystal that lets you move\n%2c3%0c spaces.,A magic crystal that lets you move 3 spaces.,
1564,7660448,"\pDrain half of your target's HP, and\nuse it to restore some of your own.","Drain half of your target's HP, and use it to restore some of your own.",
1565,7660528,"\pEnshroud your target in dark energy,\ndealing a moderate amount of damage\nand cursing them.\n","Enshroud your target in dark energy, dealing a moderate amount of damage and cursing them.",
1566,7660632,\pTin Armor,Tin Armor,
1567,7660644,\pCity,City,
1568,7660656,"\pDrain energy from your target,\ndealing a small amount of damage and\nspiriting away their defensive magic.","Drain energy from your target, dealing a small amount of damage and spiriting away their defensive magic.",
1569,7660768,\pA fickle has-been's staff with effects\nfrom forced surrender to double AT.,A fickle has-been's staff with effects from forced surrender to double AT.,
1570,7660848,\pA staff that makes its target fall\nasleep. Ineffective if already asleep.,A staff that makes its target fall asleep. Ineffective if already asleep.,
1571,7660928,"\pA staff made of fine clay, desired\nfor appearance and efficacy alike.","A staff made of fine clay, desired for appearance and efficacy alike.",
1572,7661008,\pA staff made of iron. Holding it too\nlong gives your hands that iron smell.,A staff made of iron. Holding it too long gives your hands that iron smell.,
1573,7661088,\pA lavish staff with inset crystal\nused to channel magic attacks.,A lavish staff with inset crystal used to channel magic attacks.,
1574,7661156,\pTown,Town,
1575,7661168,\pA magic mallet that generates money\nwith each strike. Is this even legal?!,A magic mallet that generates money with each strike. Is this even legal?!,
1576,7661248,\pAn extremely tough hammer that\nsometimes adds lightning to its blows.,An extremely tough hammer that sometimes adds lightning to its blows.,
1577,7661328,\pDeals far more damage than its squeaky\nimpact noise suggests it should. PEEP!,Deals far more damage than its squeaky impact noise suggests it should. PEEP!,
1578,7661416,\pCheap Suit,Cheap Suit,
1579,7661432,\pBrass Armor,Brass Armor,
1580,7661448,\pLeafed Armor,Leafed Armor,
1581,7661464,\pNitroglycerin,Nitroglycerin,
1582,7661480,\pA magic crystal that lets you move\n%2c2%0c spaces.,A magic crystal that lets you move 2 spaces.,
1583,7661536,\pA massive hammer that looks heavier\nthan it is. Makes one feel powerful.,A massive hammer that looks heavier than it is. Makes one feel powerful.,
1584,7661616,\pA club with a heavy weight at the end.\nIt deals a pretty hefty blow.,A club with a heavy weight at the end. It deals a pretty hefty blow.,
1585,7661688,\pA magic crystal that lets you move\n%2c1%0c space.,A magic crystal that lets you move 1 space.,
1586,7661744,"\pSo rare, it has a high market value.\nIt's said only four were ever made.","So rare, it has a high market value. It's said only four were ever made.",
1587,7661824,\pAn cursed axe with a wicked aura.\nDrains your energy with every blow.,An cursed axe with a wicked aura. Drains your energy with every blow.,
1588,7661904,\pAn axe co-designed by a woodcutter\nfrom Wayward Forest to chop wood.,An axe co-designed by a woodcutter from Wayward Forest to chop wood.,
1589,7661976,\p%3c%s%0c woke up!,[TEXT] woke up!,
1590,7662000,\pA battle-ready take on the tomahawk.\nHas a deceptively sharp edge.,A battle-ready take on the tomahawk. Has a deceptively sharp edge.,
1591,7662072,\pWooden Armor,Wooden Armor,
1592,7662088,\p%3c%s%0c is asleep!,[TEXT] is asleep!,
1593,7662112,"\pA spear once borne by Poseidon,\nescaping the Deep Sea Fiends' notice.","A spear once borne by Poseidon, escaping the Deep Sea Fiends' notice.",
1594,7662192,\pA spear made from unicorn horn.\nIts potent energy is palpable!,A spear made from unicorn horn. Its potent energy is palpable!,
1595,7662264,\pLinen Robe,Linen Robe,
1596,7662280,\pLight Armor,Light Armor,
1597,7662296,\pMythril Mail,Mythril Mail,
1598,7662312,\p%3c%s%0c's paralysis is cured!,[TEXT]'s paralysis is cured!,
1599,7662352,\pA pike with three points on its end.\nOriginally used for spear-fishing.,A pike with three points on its end. Originally used for spear-fishing.,
1600,7662432,\pA mighty spear made of tempered iron.\nCapable of skewering anything!,A mighty spear made of tempered iron. Capable of skewering anything!,
1601,7662504,\p%3c%s%0c is paralyzed\nand can't move! End turn?,[TEXT] is paralyzed and can't move! End turn?,
1602,7662560,"\pIt's as damaging as it is long, but\nso long that it's really heavy!","It's as damaging as it is long, but so long that it's really heavy!",
1603,7662632,\p%3c%s%0c's footsore has healed!,[TEXT]'s footsore has healed!,
